year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2006-12-29--2016-01-04,161005.OF,mode1,179641602.8861953,198532426.6041953,188294210.19319528,12455784399.707275,4097759460.490263,252423842.20352092,6561629200.716367,4313711480.739843,0.04383898191640138,0.048449019157518466,0.045950527845445434,0.04164432500603518,0.04602357563564846,0.04365016321418441,2007
2006-12-29--2016-01-04,161005.OF,mode2,455918669.4408764,516151591.5758765,584656489.6198764,17058330627.343264,9255429104.66786,668375492.2761061,12106586651.661783,9818833805.262548,0.049259592860037095,0.05576744046535475,0.0631690311716625,0.04643307733720069,0.05256750463575801,0.05954439205463699,2007
2007-12-28--2017-01-03,161005.OF,mode1,129549415.98808482,157295260.7480848,74580177.01108481,5745033936.563923,1557498807.9971454,194718566.90531832,1810379642.2717886,3355372544.3900156,0.08317785883552488,0.10099221902478214,0.047884580474890165,0.03860954760587875,0.04687862783257054,0.022227092826332638,2008
2007-12-28--2017-01-03,161005.OF,mode2,458291516.1499818,524027545.0549818,546167157.6247218,7152623392.427282,5526077171.626243,758719277.7370126,7053243059.685198,8364525721.291334,0.082932521916829,0.09482812649552057,0.09883451509309865,0.05478989860518114,0.06264880550502765,0.0652956516392185,2008
2008-12-31--2018-01-02,161005.OF,mode1,187420771.50511643,193635489.81311643,177856985.24511644,9333133537.801651,2367442703.5443664,268313345.92094865,3440107534.042513,5631169879.237215,0.07916591654975363,0.08179099309276595,0.07512620473511002,0.03328274151276431,0.03438636978917529,0.03158437572641806,2009
2008-12-31--2018-01-02,161005.OF,mode2,219252113.447171,255246941.263171,205273646.980171,12758156655.952246,5023697012.980555,504935292.36527765,5788816245.531553,6842454899.339033,0.04364357820160196,0.0508085859086739,0.040861072323782985,0.03204290224380584,0.03730341595497068,0.03,2009
2009-12-31--2019-01-02,161005.OF,mode1,84422150.83713488,91553170.01713488,88437141.09813488,5792918761.887708,1327970024.5580292,309543010.6812192,-1959543568.1660466,6860849868.071,0.06357233166104935,0.06894219622736238,0.06659573594484428,0.012304911557680107,0.013344289960811518,0.01289011460660338,2010
2009-12-31--2019-01-02,161005.OF,mode2,259512239.29327372,359202917.30227375,303778769.23827374,7212240467.893692,5260376489.902099,799083669.1284211,-3375794393.6863427,13244506556.005524,0.04933339653377234,0.06828464046096422,0.05774848431883388,0.019593953024667557,0.027120898448224826,0.022936208906969794,2010
2010-12-31--2020-01-02,161005.OF,mode1,109235105.37900001,133523067.311,61749735.721,6437529252.647533,1092351053.7842987,191814892.19836077,1564147830.1838603,3596867810.5690694,0.10000000000052194,0.12223457545852852,0.05652920414831533,0.03036950789740523,0.037122039047043816,0.017167641118073344,2011
2010-12-31--2020-01-02,161005.OF,mode2,226250592.558,356940447.219,282167724.2350376,15428464644.146675,2262505925.577718,486315138.4012238,3311907680.224981,8591727517.182257,0.10000000000010087,0.1577633203890316,0.12471468960373562,0.02633353910555594,0.04154466566882724,0.032841791557139295,2011
2011-12-30--2021-01-04,161005.OF,mode1,316751206.34805876,316751206.34805876,316751206.34805876,16876058671.735493,5059892500.615498,354302231.8808023,7333894855.440419,7437076881.192178,0.06260038257918095,0.06260038257918095,0.06260038257918095,0.04259082048070517,0.04259082048070517,0.04259082048070517,2012
2011-12-30--2021-01-04,161005.OF,mode2,593672774.4929913,593672774.4929913,598272923.3979503,19810237506.932762,7436172236.614958,713930619.6134934,7928905223.816488,12095206811.368034,0.07983580202322464,0.07983580202322464,0.08045441987641372,0.049083309095220316,0.049083309095220316,0.049463637350594614,2012
