start_time,end_time,start_index,end_index,type,duration,return
2005/4/8,2005/4/28,1003,942,others,0.7,-6.10%
2005/4/28,2005/6/6,942,839,bear,1.3,-10.90%
2005/6/6,2005/9/30,839,917,others,3.9,9.30%
2005/9/30,2006/6/1,917,1403,bull,8.1,52.90%
2006/6/1,2007/1/8,1403,2132,bull,7.4,51.90%
2007/1/8,2007/5/28,2132,4073,bull,4.7,91.10%
2007/5/28,2007/6/5,4073,3635,bear,0.3,-10.80%
2007/6/5,2007/10/16,3635,5877,bull,4.4,61.70%
2007/10/16,2008/1/9,5877,5614,others,2.8,-4.50%
2008/1/9,2008/11/3,5614,1654,bear,10,-70.50%
2008/11/3,2009/2/16,1654,2462,bull,3.5,48.90%
2009/2/16,2009/3/3,2462,2142,bear,0.5,-13.00%
2009/3/3,2009/7/28,2142,3756,bull,4.9,75.30%
2009/7/28,2009/9/29,3756,2972,bear,2.1,-20.90%
2009/9/29,2009/11/24,2972,3548,bull,1.9,19.40%
2009/11/24,2010/7/2,3548,2534,bear,7.3,-28.60%
2010/7/2,2010/11/11,2534,3510,bull,4.4,38.50%
2010/11/11,2011/1/25,3510,2939,bear,2.5,-16.30%
2011/1/25,2011/4/18,2939,3359,bull,2.8,14.30%
2011/4/18,2012/1/6,3359,2291,bear,8.8,-31.80%
2012/1/6,2012/5/4,2291,2716,bull,4,18.60%
2012/5/4,2012/12/4,2716,2131,bear,7.1,-21.50%
2012/12/4,2013/2/8,2131,2772,bull,2.2,30.00%
2013/2/8,2013/6/25,2772,2165,bear,4.6,-21.90%
2013/6/25,2013/10/14,2165,2473,others,3.7,14.20%
2013/10/14,2013/12/31,2473,2330,others,2.6,-5.80%
2013/12/31,2014/7/18,2330,2164,others,6.6,-7.10%
2014/7/18,2015/6/12,2164,5335,bull,11,146.50%
2015/6/12,2015/8/26,5335,3026,bear,2.5,-43.30%
2015/8/26,2015/11/26,3026,3759,bull,3.1,24.30%
2015/11/26,2016/1/28,3759,2854,bear,2.1,-24.10%
2016/1/28,2018/1/29,2854,4302,bull,24.4,50.70%
2018/1/29,2019/1/4,4302,3036,bear,11.3,-29.40%
2019/1/4,2019/4/22,3036,4026,bull,3.6,32.60%
2019/4/22,2020/1/13,4026,4204,others,8.9,4.40%
2020/1/13,2020/3/23,4204,3530,bear,2.3,-16.00%
2020/3/23,2020/7/13,3530,4853,bull,3.7,37.50%
2020/7/13,2020/12/31,4853,5211,others,5.7,7.40%
